CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G;MAT_GRASSES;GRAISSES_SATUREES;GLUCIDES;SUCRES;FIBRES;PROTEINES;SEL;SODIUM;CALCIUM
3250391546657;Préparation pour flan entremet saveur vanille;Chabrior;Aides culinaires, Préparations pour desserts, Préparations pour flans, Entremets;84.0;1.6;1.0;14.0;13.0;0.5;3.0;0.14;0.056;
3660140902854;Brossard -mon mini pain d epices special foie gras edit limitee;Brossard;Snacks, Snacks sucrés, Biscuits et gâteaux, Pains d'épices, Pains d'épices au miel, Pain d'épices foie gras;329.0;3.0;0.82;69.3;41.0;3.7;4.4;0.8;0.32;
3660140891752;Brossard -mon pain d epices au miel 360g el;Brossard;Snacks, Snacks sucrés, Biscuits et gâteaux, Pains d'épices, Pains d'épices au miel;298.0;1.2;0.3;65.0;39.0;7.0;3.4;0.57;0.228;
3283260108052;Rillettes au crabe;Cap Océan;Produits de la mer, Poissons et dérivés, Poissons, Produits à tartiner, Produits à tartiner salés, Rillettes, Préparations de poisson, Rillettes de poissons, Rillettes de crustacés, Rillettes de crabe;179.0;13.0;1.0;2.7;0.5;2.0;11.0;1.24;0.496;
3250391120901;Biscuits petit dej pépites de chocolat;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat;465.0;16.0;6.2;71.6;27.9;1.7;7.2;0.4;0.16;211.0
3484702000006;Cola;Breizh Cola;Boissons, Boissons gazeuses, Sodas, Sodas au cola, Boissons avec sucre ajouté;37.7;0.5;0.5;9.4;9.3;;0.5;0.01;0.004;
3410280138992;Biscottes;Top Budget;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Biscottes;399.0;5.1;0.6;75.0;6.8;4.3;11.0;1.5;0.6;
3250392222499;Coulis 4 fruits rouges  165 g;Chabrior,Les Créations Chabrior,Intermarché, Les creations;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Condiments, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Sauces, Sauces dessert, Coulis de fruits, Coulis de fruits rouges, en:Groceries;140.0;0.5;0.1;34.0;33.8;0.5;0.5;0.01;0.004;
3250392721084;Yaourt brassé mangue vanille BIO;Pâturages Bio,Pâturages;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts au lait de vache, Yaourts à la mangue;98.0;3.1;2.2;14.1;12.1;;3.4;0.11;0.044;
3250392928025;Liégeois pommes banane;Paquito;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Liégeois;121.0;5.6;3.8;15.6;13.3;;1.0;0.0;0.0;
3228020215106;Beurre gastronomique demi-sel;Président;Produits laitiers, Matières grasses, Produits à tartiner, Matières grasses à tartiner, Matières grasses animales, Matière grasse laitière, Produits laitiers à tartiner, Beurres, Beurres demi-sel;727.0;80.0;55.0;1.0;1.0;;0.7;2.0;0.8;
3410280012285;Sucre en poudre;Top budget;Édulcorants, Sucres, Sucres en poudre;400.0;0.5;0.1;100.0;100.0;0.0;0.5;0.01;0.004;
4002359206306;Pousses de Mungo Mungosprossen;Suzi Wan;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Légumineuses, Graines, Aliments à base de plantes en conserve, Graines de légumineuses, Frais, Légumineuses sèches, Aliments à base de plantes frais, Pousses, Pousses en conserve, Pousses fraîches, Pousses de légumineuses en conserve, Pousses de légumineuses fraîches, Haricots mungos germés, Pousses de haricot mungo en conserve, Pousses de haricot mungo frais;30.0;0.1;0.0;4.8;3.7;1.3;2.7;0.68;0.272;
