CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G
3412290071801;Paysan Breton - Le Fromage Fouetté Madame Loïk - Ail et fines herbes de nos régions françaises;Paysan Breton, Le Fromage Fouetté Madame Loïk;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Produits à tartiner, Fromages, Produits à tartiner salés, Fromages de vache, Frais, Fromages de France, Fromages pasteurisés, Fromages à tartiner, Fromages à la crème, Fromages industriels, en:uncured-soft-cheese-spreadable-around-30-40-fat-flavoured, Fromage fouetté;245.0
3045140105502;Alpine Milk;Milka,Mondelez;Snacks, Sweet snacks, Cocoa and its products, Chocolates, Milk chocolates, Milk chocolate bar;539.0
3229820787329;Riz soja légumes;Bjorg;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Plats préparés, Céréales préparées, Plats préparés à réchauffer au micro-ondes, Plats préparés d'origine végétale;144.0
3250390022749;Pommes frites;Bouton d'Or, Saint eloi;Chips et frites, Frites, Frites surgelées;
3514120106377;Naturae;Gérard Bertrand;Boissons, Boissons alcoolisées, Vins, Vins français, Vins rouges, IGP PAYS D'OC;
3228021170022;President emmental coeur de meule 250g;Président,Lactalis;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages à pâte pressée cuite, Emmentals, Fromages de France, Emmentals français;369.0
3250390344636;Léger 11% Mat.. Gr. Pâturages;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages pasteurisés;
3770016162630;Nuggets Végétaux et Gourmands;Happyvore;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Viandes et dérivés, Légumes et dérivés, Alternatives à la viande, Substituts de viande, Préparations de viande, Produits panés, Substituts de viande à partir de protéines de soja ou blé, Nuggets végétariens, Nuggets végans, RHD;241.0
3339720411320;Saucisson sec supérieur;Montagne Noire;Viandes et dérivés, Charcuteries, Saucissons, Saucissons secs;453.0
7622210449283;Prince Chocolat biscuits au blé complet;Lu,Mondelez;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits;467.0
3175681209190;Le Grand Nature Gerblé sans gluten;Gerblé;Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads;236.0
